size,recipe,n_IS,rate_IS,lift_IS,p_IS,n_OOS,rate_OOS,lift_OOS,valid_OOS
3,atr_ratio_q2 & sess_overlap_1 & streak_down_34,101,0.5148514851485149,1.66534947699822,1.985392516544929e-05,42,0.4523809523809524,1.4526108374384237,True
3,atr_ratio_q2 & h_3 & streak_down_34,101,0.5148514851485149,1.66534947699822,1.985392516544929e-05,42,0.4523809523809524,1.4526108374384237,True
3,dist_ema50_q2 & dow_0 & streak_down_34,85,0.5058823529411764,1.6363377327156716,0.00022125036203216776,50,0.36,1.1559724137931033,True
3,atr_14_q2 & dist_ema50_q2 & dow_0,308,0.5032467532467533,1.6278125663341119,1.537294993280183e-12,143,0.3146853146853147,1.0104653966722932,True
3,atr_14_q2 & sess_overlap_1 & streak_down_34,100,0.49,1.584964338781575,0.00019488131584057184,41,0.4146341463414634,1.3314045416316231,True
3,atr_14_q2 & h_3 & streak_down_34,100,0.49,1.584964338781575,0.00019488131584057184,41,0.4146341463414634,1.3314045416316231,True
3,atr_14_q2 & dow_0 & streak_down_34,115,0.4782608695652174,1.546992699786808,0.0001631185133932358,36,0.4166666666666667,1.3379310344827586,True
3,atr_ratio_q3 & dist_ema200_q2 & h_1,49,0.46938775510204084,1.5182915365254572,0.01974965221829548,48,0.3125,1.0034482758620689,True
3,atr_14_q2 & dow_0 & sess_overlap_1,259,0.4594594594594595,1.4861772619573512,5.155517655041454e-07,86,0.3023255813953488,0.9707778668805132,False
3,atr_14_q2 & dow_0 & h_3,259,0.4594594594594595,1.4861772619573512,5.155517655041454e-07,86,0.3023255813953488,0.9707778668805132,False
3,atr_14_q2 & dow_0 & pos_in_range_20_q1,305,0.4557377049180328,1.4741387961902908,8.032227088882074e-08,88,0.3977272727272727,1.277115987460815,True
3,dist_ema50_q2 & sess_overlap_1 & streak_down_34,109,0.44954128440366975,1.4540957236528214,0.002462215647933659,27,0.25925925925925924,0.8324904214559387,False
3,dist_ema50_q2 & h_3 & streak_down_34,109,0.44954128440366975,1.4540957236528214,0.002462215647933659,27,0.25925925925925924,0.8324904214559387,False
3,dow_0 & h_1 & streak_down_34,68,0.4411764705882353,1.4270387203915742,0.024872548363234537,27,0.25925925925925924,0.8324904214559387,False
3,atr_14_q2 & h_1 & pos_in_range_20_q1,160,0.4375,1.4151467310549777,0.0007865685136391146,81,0.3333333333333333,1.0703448275862069,True
3,atr_ratio_q2 & dow_0 & sess_overlap_1,304,0.4375,1.4151467310549777,2.815835025344315e-06,106,0.2830188679245283,0.908783344176968,False
3,atr_ratio_q2 & dow_0 & h_3,304,0.4375,1.4151467310549777,2.815835025344315e-06,106,0.2830188679245283,0.908783344176968,False
3,dist_ema50_q2 & dow_0 & sess_overlap_1,158,0.43670886075949367,1.4125876953749508,0.0007473615147961145,72,0.2916666666666667,0.9365517241379311,False
