size,recipe,n_IS,rate_IS,lift_IS,p_IS,n_OOS,rate_OOS,lift_OOS,valid_OOS
3,atr_14_q3 & atr_ratio_q1 & dist_ema50_q3,36,0.6666666666666666,2.433532682824467,1.0414626713417104e-06,21,0.09523809523809523,0.3445357749800575,False
3,dist_ema200_q1 & dow_6 & range_20_q2,52,0.6346153846153846,2.316535919227137,6.094222997833531e-08,45,0.4666666666666667,1.688225297402282,True
3,bb_width_q2 & dist_ema200_q1 & dow_6,43,0.6046511627906976,2.2071575495384703,6.733965078047618e-06,37,0.32432432432432434,1.1732839904726284,True
3,dist_ema200_q1 & h_1 & streak_down_5p,69,0.5942028985507246,2.1690182607783295,3.198559670428742e-08,40,0.175,0.6330844865258557,False
3,h_1 & range_20_q2 & streak_down_5p,38,0.5789473684210527,2.1133310140317745,8.082385471906735e-05,22,0.4090909090909091,1.4799377607097928,True
3,dist_ema200_q1 & dow_6 & vol_5_20_q4,64,0.578125,2.1103291233868426,3.479118482969059e-07,60,0.38333333333333336,1.3867564942947317,True
3,bb_width_q2 & h_1 & streak_down_5p,47,0.574468085106383,2.096980290518956,1.9857964678768338e-05,26,0.34615384615384615,1.2522550282929015,True
3,bb_pos_q1 & dist_ema200_q1 & dow_6,78,0.5641025641025641,2.059143039313011,7.449272378199392e-08,92,0.44565217391304346,1.612202729662117,True
3,atr_14_q3 & atr_ratio_q2 & dow_6,35,0.5428571428571428,1.9815908988713518,0.0008985019813727655,0,,,False
3,bb_width_q1 & dist_ema200_q1 & streak_down_5p,36,0.5277777777777778,1.9265467072360367,0.0012557220827048212,23,0.21739130434782608,0.78644035593274,False
3,h_1 & streak_down_5p & trend_50_200_0,77,0.5194805194805194,1.8962592333697146,8.06617100480482e-06,48,0.1875,0.6783048069919883,False
3,atr_14_q3 & dow_6 & vol_5_20_q4,58,0.5172413793103449,1.8880857021913973,9.148786711322921e-05,21,0.47619047619047616,1.7226788749002877,True
3,dow_6 & range_20_q2 & trend_50_200_0,89,0.5168539325842697,1.8866714057852614,1.2281897346760009e-06,56,0.39285714285714285,1.4212100717927374,True
3,bb_pos_q1 & dow_6 & range_20_q2,62,0.5161290322580645,1.8840253028318457,7.88775207962279e-05,39,0.3333333333333333,1.2058752124302012,True
3,atr_14_q3 & bb_pos_q1 & dow_6,35,0.5142857142857142,1.8772966410360175,0.0035349788556866216,20,0.5,1.808812818645302,True
