symbol,n_gaps,avg_gap_pct,median_gap_pct,max_gap_pct,std_gap_pct,consistency,spread_pct,net_edge_pct,avg_gap_usd,net_edge_usd,straddle_wr,dir_bias,category
XAGUSD,156,0.3754,0.1543,3.4157,0.6080,34.6154,0.0397,0.2961,14.1889,11.1889,72.4359,2.5641,Métaux
XAUUSD,156,0.1954,0.0796,1.6940,0.2888,22.4359,0.0034,0.1886,9.2139,8.8939,93.5897,4.4872,Métaux
XAUEUR,156,0.2137,0.1057,2.0741,0.3048,25.0000,0.0178,0.1780,10.0735,8.3910,75.6410,1.2821,Métaux
XAGEUR,156,0.3840,0.1644,3.1107,0.5975,36.5385,0.1160,0.1520,14.5067,5.7437,38.4615,0.6410,Métaux
GBPJPY,156,0.1481,0.1071,1.3443,0.1712,14.1026,0.0093,0.1295,1.9938,1.7434,90.3846,33.9744,Forex
EURJPY,156,0.1477,0.0969,1.6085,0.2078,14.1026,0.0107,0.1263,1.7261,1.4756,92.3077,28.8462,Forex
USDCHF,156,0.1525,0.1317,0.7239,0.1136,15.3846,0.0114,0.1297,1.5253,1.2964,93.5897,37.1795,Forex
AUDJPY,156,0.2036,0.1545,1.7145,0.2265,19.8718,0.0140,0.1755,1.4524,1.2520,91.0256,33.9744,Forex
GBPUSD,156,0.1018,0.0739,0.6965,0.1114,8.9744,0.0074,0.0870,1.3711,1.1711,91.0256,37.1795,Forex
USDJPY,156,0.1178,0.0771,1.2849,0.1650,8.9744,0.0094,0.0990,1.1776,0.9898,87.1795,30.1282,Forex
EURUSD,156,0.0984,0.0480,1.1479,0.1530,11.5385,0.0094,0.0795,1.1492,0.9292,75.6410,16.0256,Forex
AUDUSD,156,0.1418,0.0935,1.1156,0.1774,10.2564,0.0154,0.1109,1.0115,0.7915,82.6923,25.6410,Forex
USDCAD,156,0.0781,0.0617,1.2276,0.1087,1.9231,0.0095,0.0591,0.7810,0.5913,85.2564,31.4103,Forex
NZDUSD,156,0.1644,0.1203,0.9797,0.1628,19.8718,0.0324,0.0995,0.9627,0.5827,68.5897,31.4103,Forex
XPTUSD,156,0.3645,0.2327,2.3350,0.4106,47.4359,0.3890,-0.4134,7.3379,-8.3221,10.2564,4.4872,Métaux
XPDUSD,156,0.4555,0.3157,2.7556,0.5103,60.2564,0.6837,-0.9119,6.7024,-13.4176,6.4103,0.0000,Métaux
