symbol,n_weekends_sampled,entry_spread_pts_med,entry_spread_pts_p95,open_spread_pts_med,open_spread_pts_p95,open_spread_pts_max,hour1_spread_pts_med,hour1_spread_pts_p95,entry_spread_pct_med,open_spread_pct_med,open_spread_pct_p95,hour1_spread_pct_med,spread_widen_ratio,oracle_edge_pct,pct_significant,pct_continuation,bias_strength,n_weekends,net_edge_optimistic_pct,net_edge_realistic_pct,net_edge_pessimistic_pct,verdict
XAGUSD,12,40.0,94.35,50.0,109.9,111.0,50.0,104.225,0.04959844908712915,0.0663713122816143,0.14438860376745638,0.07039982412906681,1.25,0.3204049582078722,51.92307692307693,54.230769230769226,4.230769230769226,260,0.27080650912074306,0.26242007752350044,0.2540336459262579,OK
XAGEUR,12,76.5,86.69999999999999,107.5,181.0,192.0,89.75,117.22499999999998,0.10899574551019924,0.1518212797348037,0.2789053664972553,0.13114662133324828,1.4052287581699345,0.3177885795624321,51.53846153846153,55.76923076923077,5.769230769230774,260,0.20879283405223287,0.18738006693993065,0.16596729982762842,OK
XAUUSD,12,43.0,58.0,58.0,331.4999999999998,480.0,58.0,247.8999999999997,0.008493765117957788,0.01198066768784839,0.06440390271579165,0.011424916175471051,1.3488372093023255,0.1676122087390788,30.384615384615383,51.53846153846153,1.538461538461533,260,0.15911844362112101,0.15737499233617572,0.15563154105123042,OK
AUDJPY,12,17.0,103.19999999999987,200.0,200.0,200.0,171.0,200.0,0.01539385369358274,0.17943176395802274,0.1839909155515554,0.15341141877252745,11.764705882352942,0.1782763061843853,43.46153846153846,41.15384615384615,8.846153846153847,260,0.16288245249080258,0.08086349735858257,-0.0011554577736374305,RISKY (weekend widens >4x)
NZDJPY,12,19.5,149.0999999999998,234.5,363.9,398.0,200.0,254.975,0.020722987328941872,0.25386565116806503,0.39348153117987433,0.2163768668341493,12.025641025641026,0.2098740616311977,53.46153846153846,43.07692307692308,6.92307692307692,260,0.18915107430225583,0.07257974238269427,-0.043991589536867326,RISKY (weekend widens >4x)
USDNOK,12,760.0,2878.4499999999985,4350.0,6903.099999999999,7386.0,3098.0,6222.799999999999,0.07945622052823867,0.45125915971055586,0.728966846751011,0.32341396437669845,5.723684210526316,0.3350617284751896,73.07692307692307,48.07692307692308,1.92307692307692,260,0.2556055079469509,0.06970403835579236,-0.11619743123536624,RISKY (weekend widens >4x)
GBPNOK,12,3327.0,15774.849999999991,5375.5,14668.949999999988,23937.0,3847.5,9681.399999999994,0.25840629861981723,0.42138491690929414,1.1387758861870183,0.2961673878569845,1.6157198677487226,0.3859219652236501,78.84615384615384,53.07692307692308,3.07692307692308,260,0.12751566660383284,0.04602635745909439,-0.03546295168564406,MARGINAL
EURZAR,12,3815.0,10084.499999999996,7740.0,12950.0,12950.0,7740.0,12950.0,0.20056994770976821,0.4051409230377693,0.6621142270008015,0.40495911737850265,2.0288335517693317,0.2848579098757753,59.30232558139535,51.93798449612403,1.937984496124031,258,0.08428796216600709,-0.01799752549799344,-0.12028301316199397,REJECT
USDSEK,12,791.0,2635.3999999999996,4921.0,10960.299999999997,12684.0,3746.0,7514.374999999998,0.0841836243867797,0.5387443867954871,1.2002380955179022,0.4135081903839293,6.221238938053097,0.2865427683991498,70.0,45.38461538461539,4.615384615384613,260,0.20235914401237012,-0.02492123719198358,-0.25220161839633726,REJECT
EURSEK,12,840.5,1715.349999999999,5122.5,8946.249999999998,10324.0,4473.25,11354.249999999996,0.07844201796376919,0.4733203373173256,0.8479229716979928,0.41524644089600626,6.094586555621654,0.2453774718504514,61.92307692307693,46.92307692307692,3.07692307692308,260,0.16693545388668218,-0.03050370579009598,-0.2279428654668742,REJECT
EURNOK,12,1174.0,3149.2999999999975,7135.5,13340.049999999996,17393.0,7163.5,10538.749999999998,0.10541761724887758,0.6401016180603512,1.1985070427750921,0.636771105002961,6.07793867120954,0.3213211915126374,71.53846153846153,49.61538461538461,0.3846153846153868,260,0.2159035742637598,-0.05143842614197697,-0.31878042654771377,REJECT
USDZAR,12,2262.0,4732.0999999999985,9358.5,17825.149999999998,20722.0,8578.25,14221.324999999999,0.1374541284181488,0.5836090074192595,1.0530205436354856,0.5359840399510958,4.137267904509284,0.2692926720939227,60.38461538461538,46.15384615384615,3.846153846153847,260,0.1318385436757739,-0.0912388958247814,-0.31431633532533676,REJECT
GBPSEK,12,3404.5,5721.999999999998,6435.0,8829.3,9398.0,3652.0,5230.15,0.278421768382887,0.5175059213852371,0.7164060540805521,0.29420926553825477,1.890145395799677,0.2944884080498915,73.84615384615385,48.07692307692308,1.92307692307692,260,0.0160666396670045,-0.10347543683417054,-0.22301751333534559,REJECT
